Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
01.01.2017-00:00,0.6,0,1003.8,-7.4,0.1,97,0
01.01.2017-01:00,1.7,0,1003.5,-7.4,-0.2,98,0
01.01.2017-02:00,0.6,0,1003.4,-6.7,-1.2,99,0
01.01.2017-03:00,2.4,0,1003.3,-7.2,-1.3,99,0
01.01.2017-04:00,4,0,1003.1,-6.3,3.6,67,0
01.01.2017-05:00,1.4,0,1003.1,-6.8,1.5,74,0
01.01.2017-06:00,1.4,0,1003.7,-7,0.4,79,0
01.01.2017-07:00,1.3,0,1003.9,-7,-0.9,81,0
01.01.2017-08:00,0.6,0,1004.3,-6.6,-1,77,0
01.01.2017-09:00,0.6,0,1004.8,-6.5,-2,81,0
01.01.2017-10:00,0.4,0,1005.2,-0.8,-1.9,80,0
01.01.2017-11:00,1.1,46,1005.8,49.7,-0.2,74,215.8333
01.01.2017-12:00,1.2,60,1006.1,138.7,1.8,72,831.6667
01.01.2017-13:00,0.4,59,1006.1,121.6,2.7,66,349.5
01.01.2017-14:00,4,55,1006.5,77,5,49,272
01.01.2017-15:00,2.7,26,1007.6,33.1,4.8,48,130.2083
01.01.2017-16:00,2.5,16,1008.5,-1.1,3.8,49,0
01.01.2017-17:00,3.8,0,1009.1,-7,3.2,50,0
01.01.2017-18:00,4.7,0,1010,-6.3,3.2,48,0
01.01.2017-19:00,4.2,0,1011.2,-6.2,2.8,48,0
01.01.2017-20:00,4.8,0,1012.2,-6,2.3,47,0
01.01.2017-21:00,3.3,0,1012.7,-6.6,1.5,48,0
01.01.2017-22:00,4,0,1013.1,-6.4,1.1,47,0
01.01.2017-23:00,2.6,0,1013.4,-6.6,0.5,48,0
02.01.2017-00:00,1.2,0,1013.6,-7.6,-2.1,61,0
02.01.2017-01:00,1.1,0,1013.3,-7.3,-3,65,0
02.01.2017-02:00,1,0,1013.3,-6.9,-3.1,66,0
02.01.2017-03:00,0.7,0,1013.4,-6.8,-3.4,66,0
02.01.2017-04:00,1.4,0,1013.2,-7.4,-3.4,62,0
02.01.2017-05:00,0.6,0,1013.2,-7,-3.4,65,0
02.01.2017-06:00,1.5,0,1012.8,-6.1,-2,58,0
02.01.2017-07:00,1.1,0,1012.5,-6.1,-3,64,0
02.01.2017-08:00,0.4,0,1012.2,-6.5,-3.3,67,0
02.01.2017-09:00,1.3,0,1012.2,-5.8,-3,67,0
02.01.2017-10:00,0.4,7,1012.3,6.4,-3,68,0
02.01.2017-11:00,1,9,1012.3,40.1,-2.3,67,248.6667
02.01.2017-12:00,1,60,1012.1,71.3,-1,59,1087.3334
02.01.2017-13:00,1.5,60,1011.9,97.5,0.6,52,723
02.01.2017-14:00,1.1,60,1011.7,80,0.2,51,131
02.01.2017-15:00,1.6,60,1011.8,37,-0.2,50,51
02.01.2017-16:00,2.2,17,1011.9,0.7,-1,51,0
02.01.2017-17:00,1.4,0,1012,-6.1,-1.6,54,0
02.01.2017-18:00,0.7,0,1012.2,-6.9,-3.6,66,0
02.01.2017-19:00,1.5,0,1011.6,-6.8,-4.4,69,0
02.01.2017-20:00,1.3,0,1011.6,-7,-4.4,70,0
02.01.2017-21:00,1.4,0,1011.5,-6.9,-5.2,74,0
02.01.2017-22:00,0.6,0,1011.2,-6.6,-5.3,76,0
02.01.2017-23:00,0.7,0,1010.9,-6.1,-4.8,76,0
03.01.2017-00:00,1.3,0,1009.9,-6,-4.2,76,0
03.01.2017-01:00,1.9,0,1009.1,-6,-3.9,79,0
03.01.2017-02:00,0.6,0,1008.4,-5.6,-3.7,80,0
03.01.2017-03:00,0.7,0,1007.7,-5.8,-3.7,81,0
03.01.2017-04:00,0.8,0,1006.9,-6.2,-3.6,80,0
03.01.2017-05:00,1.6,0,1005.5,-6.9,-4,81,0
03.01.2017-06:00,0.4,0,1004.5,-6.1,-4.5,84,0
03.01.2017-07:00,0.1,0,1003.1,-6.1,-4.1,82,0
03.01.2017-08:00,0.3,0,1001.4,-6.4,-3.6,80,0
03.01.2017-09:00,0.5,0,1000.1,-5.5,-3.3,81,0
03.01.2017-10:00,0.7,0,998.4,-1.3,-3.2,82,0
03.01.2017-11:00,1.5,0,996.1,10.2,-2.4,80,0
03.01.2017-12:00,0.7,0,993.8,39.3,-2,78,592.1666
03.01.2017-13:00,1.2,38,991.4,59.8,-1.5,79,638.8333
03.01.2017-14:00,0.5,60,989.3,85.5,-0.8,79,253.8334
03.01.2017-15:00,1.2,20,988.3,29.5,-1,78,33.3334
03.01.2017-16:00,0.8,4,987.7,-0.6,-2.1,84,0
03.01.2017-17:00,1.3,0,987,-6.4,-2.4,84,0
03.01.2017-18:00,0.3,0,986.9,-7.2,-3.1,88,0
03.01.2017-19:00,4.2,0,986.5,-6.2,1.8,74,0
03.01.2017-20:00,0.7,0,986.7,-7.1,-1.7,73,0
03.01.2017-21:00,1,0,986.7,-7.5,-2.4,71,0
03.01.2017-22:00,1.8,0,986.4,-6.7,-2.2,70,0
03.01.2017-23:00,2.2,0,986.9,-6.3,-2.1,69,0
04.01.2017-00:00,3.1,0,986.9,-5.5,-1,63,0
04.01.2017-01:00,2.1,0,987.7,-6.4,-1.8,64,0
04.01.2017-02:00,4.2,0,989,-6.7,-1,62,0
04.01.2017-03:00,4.2,0,990.9,-6.4,-0.9,65,0
04.01.2017-04:00,5.3,0,993.2,-6,-0.7,65,0
04.01.2017-05:00,4.7,0,995.5,-6.2,-1.1,62,0
04.01.2017-06:00,2,0,997.4,-6.3,-1.8,65,0
04.01.2017-07:00,5.8,0,998.6,-6,-1.5,66,0
04.01.2017-08:00,4.8,0,1000.9,-5.8,-1,64,0
